Data,Nie zindeksowano,Zindeksowano,Wyświetlenia
2026-05-17,,,1141
2026-05-18,467007,81599,1361
2026-05-19,560010,85808,1360
2026-05-20,560010,85808,1293
2026-05-21,560010,85808,981
2026-05-22,560010,85808,701
2026-05-23,557170,89121,639
2026-05-24,557170,89121,812
2026-05-25,557170,89121,802
2026-05-26,636886,99703,871
2026-05-27,636886,99703,819
2026-05-28,636886,99703,817
2026-05-29,636886,99703,1092
2026-05-30,624724,107318,908
2026-05-31,624724,107318,976
2026-06-01,624724,107318,856
2026-06-02,800512,80952,788
2026-06-03,800512,80952,825
2026-06-04,800512,80952,674
2026-06-05,800512,80952,770
2026-06-06,912306,88327,597
2026-06-07,912306,88327,892
2026-06-08,912306,88327,724
2026-06-09,894496,98442,815
2026-06-10,894496,98442,842
2026-06-11,894496,98442,925
2026-06-12,894496,98442,867
2026-06-13,1201292,39493,1020
2026-06-14,1201292,39493,1005
2026-06-15,1201292,39493,1048
2026-06-16,1201292,39493,921
2026-06-17,1201292,39493,1166
2026-06-18,1201292,39493,1115
2026-06-19,1201292,39493,1181
2026-06-20,1201292,39493,1121
2026-06-21,1201292,39493,1108
2026-06-22,1201292,39493,1049
2026-06-23,1201292,39493,871
2026-06-24,1201292,39493,881
2026-06-25,1201292,39493,891
2026-06-26,1201292,39493,863
2026-06-27,1201292,39493,734
2026-06-28,1201292,39493,753
2026-06-29,1201292,39493,783
2026-06-30,1201292,39493,746
2026-07-01,1211951,50086,623
2026-07-02,1211951,50086,674
2026-07-03,1211951,50086,688
2026-07-04,1211951,50086,625
2026-07-05,1211951,50086,631
2026-07-06,1211951,50086,781
2026-07-07,1211951,50086,678
2026-07-08,1211951,50086,843
2026-07-09,1211951,50086,803
2026-07-10,1211951,50086,853
2026-07-11,1228166,54264,775
2026-07-12,1228166,54264,954
2026-07-13,1228166,54264,980
2026-07-14,1228166,54264,931
2026-07-15,1228166,54264,885
2026-07-16,1228166,54264,1049
2026-07-17,1228166,54264,1006
2026-07-18,1228166,54264,874
2026-07-19,1228166,54264,918
2026-07-20,1228166,54264,904
2026-07-21,1228166,54264,881
2026-07-22,1228166,54264,1145
2026-07-23,1228166,54264,1021
2026-07-24,1228166,54264,1292
2026-07-25,1231485,60935,1038
2026-07-26,1231485,60935,1141
2026-07-27,1231485,60935,1371
2026-07-28,1231485,60935,1232
2026-07-29,1231485,60935,1170
2026-07-30,1231485,60935,1213
2026-07-31,1231485,60935,1375
2026-08-01,1231485,60935,1382
2026-08-02,1231485,60935,1423
2026-08-03,1231485,60935,1446
2026-08-04,1231485,60935,1247
2026-08-05,1231485,60935,1424
2026-08-06,1237750,54700,1335
2026-08-07,1237750,54700,1269
